Training type,Source,Resource,Link,Research Phase,Broad skill,Skill bite,Red skill,Tool,Status,Notes
Census,Website,Exploring census and boundary data  ,https://ukdataservice.ac.uk/help/exploring-data/online-tools-for-exploring-data/,Get data,Downloading UKDS data ,How to find relevant data,,Nesstar,,
Census,Website,Exploring census and boundary data  ,https://ukdataservice.ac.uk/help/exploring-data/online-tools-for-exploring-data/,Get data,Downloading UKDS data ,How to find relevant data,,QualiBank,,
Census,Website,Exploring census and boundary data  ,https://ukdataservice.ac.uk/help/exploring-data/online-tools-for-exploring-data/,Get data,Downloading UKDS data ,How to find relevant data,,InFuse,,
Census,Video,Accessing 2011 Census aggregate data ,https://www.youtube.com/watch?v=vSDgI1Pwt_Q&ab_channel=UKDATASERVICE,Get data,Downloading UKDS data ,How to find dataset,,,,
Census,Video,Citing international and census data ,https://www.youtube.com/watch?v=OFPgFKTo01Y&ab_channel=UKDATASERVICE,Share findings,Cite data and software,Understand how to cite census data ,,,,
Census,Website,Exploring census and boundary data  ,https://ukdataservice.ac.uk/help/exploring-data/online-tools-for-exploring-data/,Tools software and coding skills,Use an online tool to explore the data,,,Nesstar,,
Census,Website,Exploring census and boundary data  ,https://ukdataservice.ac.uk/help/exploring-data/online-tools-for-exploring-data/,Tools software and coding skills,Use an online tool to explore the data,,,QualiBank,,
Census,Website,Exploring census and boundary data  ,https://ukdataservice.ac.uk/help/exploring-data/online-tools-for-exploring-data/,Tools software and coding skills,Use an online tool to explore the data,,,InFuse,,
Census,No resource,,,Get data,Understand what other census data available ,Historic,,,,
Census,No resource,,,Get data,Understand what other census data available ,Icem,,,,
Census,No resource,,,Explore data,Understand the potential uses of historic census data,,,,,
Census microdata,Website,Obtaining 2011 data,https://ukdataservice.ac.uk/learning-hub/census/,Understand data structure,Structure of microdata files   ,,,,,
Census microdata,Website,Obtaining 2011 data,https://ukdataservice.ac.uk/learning-hub/census/,Understand data structure,Understand different microdata file types,When to use file types,,,,
Census microdata,Website,Obtaining 2011 data,https://ukdataservice.ac.uk/learning-hub/census/,Get data,Downloading UKDS data,UKDS access conditions,,,,
Census microdata,Website,Obtaining 2011 data,https://ukdataservice.ac.uk/learning-hub/census/,Understand data structure,Different microdata file types,Topics available in each file,,,,
Census microdata,Video,Accessing and analysing census microdata using Nesstar ,https://www.youtube.com/watch?v=0iBO5glezUA&ab_channel=UKDATASERVICE,Understand data structure,Understand different microdata file types,When to use file types,,,,
Census microdata,Video,Accessing and analysing census microdata using Nesstar ,https://www.youtube.com/watch?v=0iBO5glezUA&ab_channel=UKDATASERVICE,Understand data structure,Downloading UKDS data,UKDS access conditions,,,,
Census microdata,Video,Accessing and analysing census microdata using Nesstar ,https://www.youtube.com/watch?v=0iBO5glezUA&ab_channel=UKDATASERVICE,Understand data structure,Understand different microdata file types,Topics available in each file,,Nesstar,,
Census microdata,Video,Exploring educational inequality using census microdata ,https://www.youtube.com/watch?v=LOOpNHaWCC4&ab_channel=UKDATASERVICE,Explore data,Understand potential uses of census data,,,,,
Census microdata,Video,Using census microdata to explore ethnic inequalities in health ,https://www.youtube.com/watch?v=43_NLBw-8PM&ab_channel=UKDATASERVICE,Explore data,Understand potential uses of census data,,,,,
Census microdata,Website,Enhancing and Enriching Historic Census Microdata  ,https://ukdataservice.ac.uk/about/research-and-development/past-projects/enhancing-and-enriching-historic-census-microdata-eehcm/,Understand data structure,Understand different microdata file types,When to use file types,,,,
Census microdata,Website,Enhancing and Enriching Historic Census Microdata  ,https://ukdataservice.ac.uk/about/research-and-development/past-projects/enhancing-and-enriching-historic-census-microdata-eehcm/,Get data,Downloading UKDS data,UKDS access conditions,,,,
Census microdata,Website,Enhancing and Enriching Historic Census Microdata ,https://ukdataservice.ac.uk/about/research-and-development/past-projects/enhancing-and-enriching-historic-census-microdata-eehcm/,Explore data,Understand potential uses of census data,Historic census data,,,,
Census microdata,PDF,UK Census microdata practical exercises ,https://dam.ukdataservice.ac.uk/media/605098/practicalodw.pdf,Tools software and coding skills,Introduction to software tools and their key features,Analyse microdata ,,Nesstar,,
Census microdata,PDF,UK Census microdata practical exercises ,https://dam.ukdataservice.ac.uk/media/605098/practicalodw.pdf,Tools software and coding skills,Awareness of the different types of census data:  teaching data ,Teaching data,,Nesstar,,
Census boundary data,PDF,Mapping census data in QGIS ,https://ukdataservice.ac.uk//app/uploads/mappingcensusqgis.pdf,Tools software and coding skills,Introduction to software tools and their key features,Understand how to use GIS software,,ARCGIS,,
Census boundary data,PDF,Mapping census data in QGIS ,https://ukdataservice.ac.uk//app/uploads/mappingcensusqgis.pdf,Tools software and coding skills,Introduction to software tools and their key features,Understand how to use GIS software,,QGIS,,
Census boundary data,PDF,Mapping census data in QGIS ,https://ukdataservice.ac.uk//app/uploads/mappingcensusqgis.pdf,Get data,Downloading UKDS data,How to download data from InFuse,,InFuse,,
Census boundary data,PDF,Mapping census data in QGIS ,https://ukdataservice.ac.uk//app/uploads/mappingcensusqgis.pdf,Prepare data,Understand how to clean data,Ensure data can be read into software,,,,
Census boundary data,PDF,Mapping census data in QGIS ,https://ukdataservice.ac.uk//app/uploads/mappingcensusqgis.pdf,Explore data,Visualisations,How to create visualisations of census data,,QGIS,,
Census boundary data,PDF,Mapping census data in QGIS ,https://ukdataservice.ac.uk//app/uploads/mappingcensusqgis.pdf,Explore data,Visualisations,How to present and report maps,,QGIS,,
Census boundary data,PDF,Mapping census data in QGIS ,https://ukdataservice.ac.uk//app/uploads/mappingcensusqgis.pdf,Share findings,Cite data and software,How to cite boundary data,,,,
